# BehaviorSync export | Video: 30.0000 fps
Frame onset,Frame offset,Onset (s),Offset (s),Duration (s)
49,69,1.6,2.2666666666666666,0.6666666666666665
118,147,3.9,4.866666666666666,0.9666666666666663
569,785,18.933333333333334,26.133333333333333,7.199999999999999
1107,1143,36.86666666666667,38.06666666666667,1.2000000000000028
1411,1455,47.0,48.46666666666667,1.4666666666666686
1954,2020,65.1,67.3,2.200000000000003
2193,2317,73.06666666666666,77.2,4.13333333333334
2627,2775,87.53333333333333,92.46666666666667,4.933333333333337
6540,6689,217.96666666666667,222.93333333333334,4.966666666666669
7862,8070,262.03333333333336,268.96666666666664,6.93333333333328
8274,8306,275.76666666666665,276.8333333333333,1.0666666666666629
14900,14925,496.6333333333333,497.46666666666664,0.8333333333333144
15105,15134,503.46666666666664,504.43333333333334,0.966666666666697
15294,15388,509.76666666666665,512.9,3.1333333333333258
15929,16031,530.9333333333333,534.3333333333334,3.400000000000091
